timestamp,sandwich,indexName,indexType,authIdentifier
Mon Jan 12 13:13:14 2015,yummy,406298,test,0327B35C-DBA1-480F-9AB7-007BF37B06D4
Mon Jan 12 13:13:16 2015,yummy,569966,test,779603F0-92A5-4162-A2E9-6F41FFE1378F
Mon Jan 12 13:13:18 2015,yummy,774126,test,9FD3993C-46C3-4B8E-A031-54E9BE846979
Mon Jan 12 13:13:20 2015,yummy,324830,test,D26F9C31-2047-4CD5-960A-2A31DE17421F
Mon Jan 12 13:13:22 2015,yummy,681910,test,010508F3-33CF-44AC-BCA2-AD34549C321A
Mon Jan 12 13:13:24 2015,yummy,124462,test,9AB1726A-1DC5-407D-AF03-2A865F556B00
Mon Jan 12 13:13:26 2015,yummy,875881,test,2A70E9A7-60F5-4C67-A55E-BB950D4FBC29
Mon Jan 12 13:13:28 2015,yummy,991266,test,A81D4B18-9354-4094-BFF0-23AF602035BC
Mon Jan 12 13:13:30 2015,yummy,359468,test,83A269CC-A128-4C33-9A23-E0A8D1071F05
Mon Jan 12 13:13:32 2015,yummy,828426,test,251FED52-8F41-4B10-AD5E-6295C6A6E9A5
Mon Jan 12 13:13:34 2015,yummy,264827,test,D535BC54-8BF6-4CF1-A194-18505E87C183
Mon Jan 12 13:13:36 2015,yummy,241748,test,20529273-68F7-449D-9369-B73461F29CBA
Mon Jan 12 13:13:38 2015,yummy,938266,test,BC139810-5015-4D24-A26D-ABB1F2D381B5
Mon Jan 12 13:13:40 2015,yummy,243899,test,6AB4BF58-D81F-4492-9E23-D4041E989676
Mon Jan 12 13:13:42 2015,yummy,6507,test,71CE3801-BBAD-4CB5-A24E-D6A1F5906819
Mon Jan 12 13:13:44 2015,yummy,439038,test,5952D712-0A08-4F1C-BEA3-6838FAFA7EA5
Mon Jan 12 13:13:46 2015,yummy,868667,test,70A3F4A1-10A9-485B-A12E-8FAE371A2F14
Mon Jan 12 13:13:48 2015,yummy,790202,test,3AF5421F-B0C6-4202-AFDD-324D525293EF
Mon Jan 12 13:13:50 2015,yummy,626374,test,98DA8768-90C3-4DE2-B660-BB291B249999
Mon Jan 12 13:13:52 2015,yummy,636150,test,82398793-EC85-4C55-A188-973EF2612FF3
Mon Jan 12 13:13:54 2015,yummy,751350,test,7005A416-E96A-4980-9D30-54A91D0021E7
Mon Jan 12 13:13:56 2015,yummy,105840,test,4D7C599E-2BC7-41AF-BD1A-CA8932D2820D
Mon Jan 12 13:13:58 2015,yummy,807942,test,AB644606-61BD-4F39-A72A-9DD9FF3AFCD3
Mon Jan 12 13:14:00 2015,yummy,187399,test,6E37B6C2-9529-4BE5-B39D-42004DE97CE9
Mon Jan 12 13:14:02 2015,yummy,191354,test,61FB508C-F609-4088-8A3B-5B7222A97FEC
Mon Jan 12 13:14:04 2015,yummy,224802,test,EF1DA742-A82A-4844-9473-62642E094D41
Mon Jan 12 13:14:06 2015,yummy,117618,test,6EA4506C-CDD1-4D49-83BF-12EF0ED1F04E
Mon Jan 12 13:14:08 2015,yummy,316414,test,F4C03AFC-FD82-4200-BA02-CEA393497F1C
Mon Jan 12 13:14:10 2015,yummy,442442,test,0064484C-2684-4252-973C-5910916E7A13
Mon Jan 12 13:14:12 2015,yummy,419418,test,A2B2A384-A409-417E-AF44-051CFA17A87A
Mon Jan 12 13:14:14 2015,yummy,381999,test,1539FFFC-5FAE-47E6-85FD-A8D353FA2E81
Mon Jan 12 13:14:16 2015,yummy,141740,test,5A10A872-4EAC-461A-B327-8E9B65FF1730
Mon Jan 12 13:14:18 2015,yummy,109932,test,5E5BF2D5-065B-4753-AA4F-020C1E7AB817
Mon Jan 12 13:14:20 2015,yummy,362402,test,AA016CB1-5C60-4273-AB27-F60CCA38B714
